Caractéristique,Magnitude
TurnoutTimeSeconds,3 799 423.15
PumpCount,3 745 790.27
NumStationsWithPumpsAttending,2 454 214.28
PumpOrder,2 319 695.67
ProperCase_Hillingdon,1 350 731.18
PropertyCategory_Non Residential,1 162 810.66
PropertyCategory_Outdoor,1 156 857.43
ProperCase_Tower Hamlets,928 877.14
ProperCase_Lambeth,799 548.89
ProperCase_Enfield,762 246.69
StopCodeDescription_False alarm - Good intent,752 165.33
StopCodeDescription_AFA,711 243.00
ProperCase_Barnet,678 629.33
PropertyCategory_Other Residential,634 089.21
ProperCase_Camden,531 114.43
ProperCase_Southwark,482 467.63
ProperCase_Kensington And chelsea,455 682.10
ProperCase_Bromley,431 525.35
PropertyCategory_Road Vehicle,288 571.94
PumpHoursRoundUp,7 155.64
